sts12,sts13,sts14,sts15,sts16,stsb,sick,avg,best-step,best-stsb
64.97386033325134,81.05467556991009,72.93150116879296,81.85706680328838,79.52713216849266,78.54089901398376,70.56307567166935,75.63545867562694,1953,82.88690791288357
68.03316044875817,82.25776470332418,74.81777394131043,82.97360518908282,80.77502273653151,81.12486202195663,69.9681678347775,77.13576526796304,1500,84.93416395205134
66.51808725791872,81.02945711839484,73.36598783631712,82.67458726075677,80.54406703021914,80.52314902458403,70.54307064196674,76.45691516716533,1500,84.33016513664879
65.5662488051058,82.05298718996123,73.17269144591687,82.1622985190676,80.39340104129347,80.09345593057438,72.12152105945016,76.50894342733851,1953,83.88683547127165
64.51142322318354,81.03745049149276,73.10128609045314,81.5734665606388,79.65756629277665,79.29012813139765,70.82029670042071,75.71308821290903,1953,83.92037535206912
65.57140499085811,81.5885672304593,73.5377418140753,82.58680474952172,80.43438904636378,80.4745934161017,72.10468902934461,76.61402718238922,1953,84.29870550639724
65.37696706922075,81.01476529152296,72.69745119573776,82.24847388464576,80.2979492827415,79.9412617114119,70.31710188902412,75.9848529034721,1953,83.98041009100862
65.83225875777191,82.44138362285727,74.23128390638009,83.13848947728155,80.4615557990768,81.05744718212823,72.38070820841138,77.07758956484388,1750,84.45219813901453
64.77670997201317,81.82509562468802,74.3583151601878,82.67276967555246,80.7444666156481,80.35084072014409,72.05148051674259,76.68281118356803,1953,83.80938435020614
66.29312299784075,80.63443252073584,72.61686095033858,82.22311041292907,81.03810520204522,79.8500280121856,70.24324005007192,76.12841430659242,1953,83.96357680537045
64.44384702692912,80.7707891092791,73.44459481470838,82.05672910531115,79.99122350305691,79.79789636779195,72.29493563484792,76.11428793741779,1953,83.75317915127599
67.54935821160451,83.02555078863205,74.80100570887623,82.77852083753132,80.35723148460063,80.50661097521791,70.3271409656434,77.04934556744372,1953,84.26920904476027
65.08211064854274,81.42205202958279,73.49235711940011,82.00660923584753,80.0775257917513,80.84904132525863,71.31787837903543,76.32108207563122,1953,84.07337439003975
66.41521998508321,82.2067133497748,73.78486144518476,82.02763138042579,80.1576206843153,80.53555531046716,70.62812774345373,76.53653284267212,1953,84.21674423987048
66.86296467244152,82.29575155406626,74.44482471234336,82.95007381602402,80.59753258011479,81.00233096455615,71.70284940827753,77.12233252968909,1500,84.4629737692267
65.81371049595663,80.98491025653843,73.67939740813999,82.6305642885716,80.35798560989753,79.9782434800108,70.08014380303975,76.21785076316496,1953,83.86404541995681
66.72279742020764,82.41345913339234,74.61868232615643,84.0290830724886,80.90259687619894,81.07942565894174,70.55919172845392,77.18931945940567,1750,85.2048173416791
66.6989672313138,81.54958857638994,73.53169123334192,81.79904808098838,80.49460268599891,79.91829293652282,69.34668785409389,76.19126837123567,1953,83.90828993447616
66.71003398104337,81.74831938285053,73.40076002980935,82.4943086569003,80.23123673942291,80.13563647791952,70.74563207566194,76.49513247765829,1953,84.17214616638825
67.33958797679014,82.95664371298191,74.6584220737666,83.88946722535326,81.2647671006076,81.90860557834282,69.61457634345767,77.37601000161429,1750,85.28843252393798
66.88927290659605,82.7396085078897,74.34092778849654,82.90287396500955,80.37662786451568,80.54888383839625,71.10614192293114,76.9863338276907,1750,84.6091715569521
67.62670001826669,83.12557489842098,75.15165009069526,83.98858741337156,81.15784366246662,80.8911756001514,71.90566867547035,77.69245719412041,1953,84.98950331408503
66.68038970217204,83.00813744243337,74.96175061838495,83.50706133809452,80.88649208720241,81.18577077172333,68.23256780376632,76.92316710911099,1953,84.8975105459735
66.42250718984319,82.4089138366639,74.65599398220803,82.87886516231595,80.56787141295817,81.16849305033378,71.51838690698011,77.08871879161472,1953,85.44788405746473
66.61221796392358,82.90953334861328,74.75459809095068,83.79141542612153,81.17131357343013,81.50118854686585,71.52227390515728,77.4660772650089,1750,84.81531883866485
68.16909854125268,83.5379879297178,75.16518520360258,83.52503758284409,80.60219925484758,81.1113772672329,71.17677805469229,77.61252340488427,1953,85.15435983354823
65.82998569869977,80.99907963141975,72.9469916373905,82.40479224000931,80.22950046352165,79.66414126275943,71.15349333940651,76.17542632474384,1750,83.79188565816335
65.9277434068986,81.24426692001501,73.54139427817707,82.64598179621765,80.46596489642226,80.57403864305292,70.40814674755221,76.40107666976223,1953,83.99449248506869
66.34347993765195,81.15948983131132,73.35937432298562,82.97899007065408,81.32809538352267,81.11707588009345,70.9665726310876,76.75043972247238,1953,84.61670501410833
66.19189031968294,81.95875222547492,73.94622154026806,82.64789090879077,80.36826754464221,80.0430113751542,72.12577699931177,76.75454441618926,1953,84.13805796142523
66.9487612525469,82.02921953922218,73.85445472892286,82.54412675964056,80.97326261186402,81.18087138948826,69.97000852277694,76.78581497206596,1750,84.18853852645525
66.55995000754645,81.67498392156114,73.76701505972207,83.12754248315093,80.11003745767168,80.79197135646703,69.61437607134073,76.52083947963716,1953,84.07169502945018
66.30031684347877,81.79826230538862,74.18009408494395,82.55254755211188,80.78096452878371,81.02011630849258,70.7423842011538,76.7678122606219,1953,84.47494068139979
68.16353327970882,82.40951049249645,74.34898315961664,83.1847798405998,81.14897001202095,81.12945513553413,71.43278256269028,77.40257349752387,1750,84.97422412204602
67.87725094130029,82.54839552801985,74.39678302639051,82.53345793257905,81.23085371751709,81.138593944879,70.86901705333838,77.22776459200347,1953,84.27230513230619
