sts12,sts13,sts14,sts15,sts16,stsb,sick,avg,best-step,best-stsb
62.475115710593634,79.42881490360158,67.07460178788895,78.55800327614567,76.10152493944989,76.45815921018058,67.75519577067509,72.5502022283622,9500,81.62572714929082
66.46839268826984,80.8315346177992,72.04095401417554,81.92894548146693,77.96598368795983,75.97841031813103,74.1582019424801,75.62463182146894,9000,81.26608117155794
67.27347477640983,79.92828310023357,72.76461433462082,82.30742847557562,77.7017138893763,77.29909987006661,74.79929896835911,76.01055905923455,14750,82.54259166103239
67.30169449572631,82.03516738102037,73.779971428858,82.66726861459941,77.83617512397785,76.69665865424788,72.90234117005741,76.17418240978388,11750,82.37306022731093
67.84326457101525,81.54210491558365,73.57337482189872,83.12732129765536,78.20250818103504,77.52245181774087,72.638442429278,76.3499240048867,15500,82.92132199357259
63.59511818178611,80.56217787396878,70.27846020331154,81.25033486789414,76.5815609014877,74.77727939120949,72.76108799981805,74.25800277421084,8750,80.2590461349553
67.68322490645127,81.61665877917834,73.91853386936211,82.7200342487305,78.47601888429817,77.94819379703142,73.22415487646315,76.5124027659307,14250,82.79320215426606
65.37700400932889,80.47846063663387,70.44691517888467,81.26225378549297,76.17531260710727,75.70307158796672,74.10162891633216,74.79209238882093,11250,81.37738783200174
68.20555629105272,84.38552057902203,74.27518880665258,82.37378284416772,77.73841246504651,77.83282580688784,72.36182700293618,76.73901625653794,13250,83.27916298785345
66.38567148694761,80.54804782531912,73.44049135823954,81.88385621821551,77.46131610940252,77.35177410681936,71.83499909282929,75.55802231396756,11500,82.42791417975698
64.20153368476915,77.26064910398728,67.88174061822507,79.1646342298309,76.75052327746054,73.13837624590721,69.13607746319825,72.50479066048263,13250,80.19403096553248
65.43925497172111,79.21283118614046,70.02658333287327,81.44920013985417,76.48962766397898,74.91235417742101,72.1607886479207,74.24152001712994,15625,81.29827834680245
66.61384094593079,81.47324392804866,73.20242263367844,82.31438571900101,77.51710934203825,77.02427792531104,74.77116512029424,76.13092080204319,15000,82.32623546190058
66.76596754481854,80.92808607768586,73.23663478618134,82.83338534512599,77.17859537269388,77.33284485771442,74.53039140267609,76.11512934098516,14250,82.5087859437525
66.22532734323657,80.94251028953833,72.58164867211204,81.73822046806889,77.35978095645464,76.42983505904375,74.37395180927514,75.66446779967563,14000,81.92354212349939
66.52912966827503,80.75699036333513,72.7322901712639,83.00134080269802,76.85889695733667,76.58815525113617,72.4387539712309,75.55793674075369,7250,83.20086222207348
67.63651127835887,81.17800303344148,73.63894917198188,82.50425651621576,78.68073562874119,77.90466058220463,72.64491541740368,76.31257594690679,11250,82.33352834949577
64.2134730397276,81.02665798033625,72.40991439528496,81.12223992358163,76.10378074822795,74.39688876403409,74.14928295725281,74.77460540120647,10000,80.59484013893233
63.64141058978354,81.23112035016783,70.81083953464564,80.79790554191942,76.53508970832932,74.88537390161083,73.95028691984167,74.55028950661404,15625,80.61184139621666
61.86523722252208,79.09334040108517,68.32807471097136,78.97764408395811,73.95935594895151,73.77141798425592,72.86867526752029,72.69482080275206,15625,79.67791619654477
65.69651529610371,79.76802824766874,71.28867564669127,81.5475435395811,76.9155938998775,76.12254236421688,73.36046205732754,74.95705157878095,10500,82.23083486225579
64.78620377759957,80.3065237504217,71.67746260380626,81.585554742322,75.80237434074819,75.62750729880247,75.1463716530827,74.99028545239756,15250,81.34226805687554
68.33525132638727,83.97297794063002,74.4038542765722,82.68089536009943,78.36908887825913,79.10162538491123,73.01794237887296,77.1259479351046,15625,84.0652194022055
68.24977047408532,81.13792085831318,72.96699430338013,82.44843451495547,76.74018953529166,76.51016486522367,74.59402193466475,76.09249949798775,12750,82.07921269356277
64.963761656432,78.16639612887563,70.09892489941507,80.76459469921045,74.66727456747708,73.90998977669524,70.71899984228617,73.32713451005596,7500,79.62408591028559
67.57022990240709,82.43793373562866,74.08654616475128,82.91841313639344,77.45658741175208,77.51407000117074,73.81167078295019,76.54220730500764,13750,82.51643612696792
62.9239073282335,80.47097227672057,70.02508000120984,79.43917867433602,75.86862718552345,75.6768859613511,70.78680433631378,73.59877939481261,5000,82.70182077447681
63.216879764547464,75.19340141938237,67.47946956892429,79.11743907627219,76.88269915120395,74.50050438244904,70.4122498601698,72.40037760327844,15500,80.71674627288311
62.26193611671484,73.61777874545015,65.19664602853706,77.73026861425363,74.97123376389752,70.79456062270667,67.81294401752356,70.34076684415479,14750,78.6559325731135
65.05471116655471,83.06934793008554,72.06262019773693,82.12725377033904,77.16913432898806,77.48490942238163,73.41508765432476,75.76900921005868,13250,83.32055856802239
67.1186414279316,80.75030223046737,71.21469344313483,81.61525883674443,77.00031715953209,75.68645551178909,72.67612688353304,75.15168507044748,13250,81.45664393651928
65.46371464927674,76.7333516194127,70.00280611817432,80.89364677541127,77.25818350238704,75.23673595185404,73.41875583334647,74.14388492140894,13000,80.96011832695775
60.997287293937354,74.69254986383288,66.66187865218033,78.97169988375053,75.76561957964182,73.1221371349092,69.29476183307871,71.3579906059044,15500,78.95358740486279
66.44617829773345,80.49332354201742,72.63574857036208,82.92379147671016,77.14922680740055,76.21954064890912,73.4110778737439,75.61126960241096,12250,82.23886671833246
64.14172127528353,80.30606589314169,70.7982010720989,81.3588912500002,75.1048700941408,74.69620959649833,72.1645660282975,74.08150360135156,14750,80.47241621102988
67.60372878780856,82.27602237571074,72.97535459121633,82.42374894015724,78.1199560871638,78.07174009952573,74.17359853411575,76.52059277367117,12750,82.69342041280774
